name,adname,type,rating,cost,性价比,cluster,餐厅类型
蚝宅·海鲜龙虾烧烤(五福天虹购物中心B座店),上城区,餐饮服务;中餐厅;海鲜酒楼,3.7,110,0.78564099641382,0,平价高性价比型
周胖烧烤·虾唠唠(原大学路胖子烧烤店),上城区,餐饮服务;中餐厅;中餐厅,4.4,65,1.0502058692005338,1,大众品质型
胖子烧烤(长明寺巷店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.5,41,1.203958738885743,1,大众品质型
小马烧烤,上城区,餐饮服务;中餐厅;中餐厅,4.6,89,1.0222654594327278,1,大众品质型
东北烧烤,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.4,44,1.1558681684609975,1,大众品质型
庆哥东北油边王,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,65,1.0979424996187397,1,大众品质型
串意十足烧烤店(解放路店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.0,45,1.0447570262568968,0,平价高性价比型
三毛烤鸡(景芳店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.5,24,1.3980036027591267,0,平价高性价比型
漫野串烧·炭火烧鸟(钱江世纪城店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.6,141,0.9282002673891752,1,大众品质型
幸福小串·地摊小炉子(钱江世纪公园店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,94,1.032087628163374,1,大众品质型
三个蒙古大叔(朝龙汇D+PARK店),萧山区,餐饮服务;中餐厅;综合酒楼,4.7,107,1.0038163759213463,1,大众品质型
肉本家·炭烤肉(滨江东和时代店),滨江区,餐饮服务;中餐厅;中餐厅,4.9,106,1.0486153406396395,1,大众品质型
三两好友深夜食堂小龙虾·烤乳猪·罗氏虾(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.6,85,1.0326990003381638,1,大众品质型
福临潮汕牛档·鲜烤牛肉·沙茶火锅·牛腩饭·烧烤,萧山区,餐饮服务;中餐厅;中餐厅,4.6,89,1.0222654594327278,1,大众品质型
赶海去·海鲜烧烤小酒馆·团建·露营(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,80,1.046775110620863,1,大众品质型
御牛道日式烤肉料理(中山中路店),上城区,餐饮服务;外国餐厅;日本料理,4.7,193,0.8922032177183187,1,大众品质型
穆羊客清真火锅烤肉一体,上城区,餐饮服务;中餐厅;清真菜馆,4.7,69,1.1062740410962182,1,大众品质型
虾儿清清小龙虾烧烤(星澜里店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,87,1.0497311671531557,1,大众品质型
蚂蚁洞烤肉料理(杭州亚奥万象天地店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,81,1.043860464415957,1,大众品质型
山葵村烤肉(滨江星光大道店),滨江区,餐饮服务;外国餐厅;外国餐厅,4.6,85,1.0326990003381638,1,大众品质型
梦幻烤房·BURGER·BBQ,上城区,餐饮服务;快餐厅;快餐厅,4.6,50,1.1699399794625944,1,大众品质型
